SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1516,1540,1516,1530.35,1533,1515.15,515,4883,7475223,
500003,AEGIS LOGIS ,A ,Q,255.75,255.75,246,252.35,252.95,253.25,356,24066,6081959,
500008,AMAR RAJA BA,A ,Q,826.9,826.9,812.7,816,818.8,818.15,501,18849,15404793,
500009,A.SARABHAI  ,X ,Q,12.59,12.96,12.26,12.53,12.45,12.59,73,38597,486385,
500010,HDFC        ,A ,Q,1852.75,1852.75,1819.5,1827.45,1824.1,1842.75,1133,41767,76251687,
500012,ANDHRA PETRO,X ,Q,59.85,60.5,59.3,59.8,60,57.8,388,102353,6118731,
500013,ANSAL INFRAS,B ,Q,23.75,23.9,23.35,23.6,23.6,23.7,46,9281,218835,
500014,APPLE FINANC,X ,Q,3.46,3.46,3.15,3.16,3.15,3.3,38,15052,48316,
500020,BOM DYEING  ,A ,Q,273.1,274.75,262.05,263.25,263.25,272.7,4351,525770,140059862,
500023,ASIANHOTNR  ,T ,Q,275,276,274.35,275.9,276,283.85,5,142,39041,
500024,ASSAMCO     ,B ,Q,4.76,4.86,4.65,4.74,4.74,4.78,61,56764,269855,
500027,ATUL LTD.   ,A ,Q,2670,2735,2669,2717.15,2700,2688.55,106,558,1501926,
500028,ATV PROJECTS,XT,Q,11,11,10.44,10.79,10.87,10.63,27,9629,102058,
500029,AUTOLITE(I) ,B ,Q,78.25,78.25,75.5,75.85,76.8,76.15,39,1738,132318,
500031,BAJAJ ELECT.,A ,Q,534,545.75,522.8,541.95,541.95,528.95,2257,91996,49569170,
500032,BAJAJHIND   ,A ,Q,12.74,12.81,12.62,12.7,12.7,12.87,492,517092,6588433,
500033,FORCE MOTR  ,B ,Q,3023.5,3044.95,2953.3,2990.35,2990.35,3013.2,2005,21777,65269627,
500034,BAJFINANCE  ,A ,Q,1683.9,1683.9,1652.05,1656.9,1656.9,1670.6,1602,28643,47609074,
500038,BALRAM.CHINI,A ,Q,117.65,119.8,117,119.55,119.4,117.7,1329,252054,29882765,
500039,BANCO PROD. ,B ,Q,221.65,222,215.95,217.8,215.95,219.55,119,4091,894410,
500040,CENTURY TEXT,A ,Q,1228.95,1228.95,1206.45,1209.85,1208.2,1218.45,781,27036,32830127,
500041,BANNARI AMAN,B ,Q,1744,1744,1730,1730,1730,1777.95,3,13,22560,
500042,BASF INDIA  ,B ,Q,2062,2071.55,2020.05,2038.8,2020.05,2064.1,241,1599,3279375,
500043,BATA INDIA  ,A ,Q,749.8,749.8,719.25,722.45,720.5,727.15,992,48109,35191181,
500048,BEML LTD    ,A ,Q,1257.4,1258.55,1227.95,1232.2,1232.2,1252.5,633,17887,22217145,
500049,BHARAT ELECT,A ,Q,156.65,156.65,152,152.6,152.6,155.2,2178,291745,44866229,
500052,BHANSALI ENG,B ,Q,171.7,172,166.2,166.7,166.7,169.55,814,98793,16716512,
500055,BHUSH STEEL ,B ,Q,49.75,49.75,47.8,48.05,48.05,48.9,1503,402264,19561932,
500058,BIHAR SPONGE,XT,Q,2.51,2.75,2.51,2.52,2.52,2.62,10,8188,21353,
500059,BINANI IND. ,B ,Q,116.9,118.35,110,111.9,111.9,114.65,544,54874,6260691,
500060,BIRLACABLE  ,B ,Q,63.85,63.85,62.75,63.5,63.8,64.75,35,4492,285440,
500067,BLUE STAR   ,A ,Q,735,747.85,730,733.3,733.3,741.8,188,2958,2193511,
500068,DISA INDIA  ,X ,Q,6270,6270,6110,6260,6260,6202,3,55,340600,
500069,BNK CAPITAL ,X ,Q,115.1,115.1,106.75,109,109,110,30,1565,171066,
500074,BPL LTD.    ,B ,Q,96.75,97.55,93.15,94.25,94.25,95.75,1019,140028,13301607,
500078,CAMPH.& ALL ,X ,Q,1050,1070,1000.05,1010.05,1010,1030,52,1261,1280389,
500083,CENTURY EXT ,B ,Q,6.34,6.35,6.05,6.13,6.12,6.15,48,22106,135616,
500084,CESC LTD.   ,A ,Q,1019.7,1024.95,1003,1007.65,1009.5,1018.3,522,14794,14976239,
500085,CHAMBAL FERT,A ,Q,172.9,172.9,162.25,163.45,163.45,170.4,2715,247438,41134431,
500086,EXIDE IND.  ,A ,Q,211.15,211.7,208.05,209.45,209.5,210.95,300,30665,6424733,
